Volume Identifier,Access,Rights,University of Michigan record number,Enumeration/Chronology,Source,Source institution record number,OCLC numbers,ISBNs,ISSNs,LCCNs,Title,Imprint,Rights determination reason code,Date of last update,Government Document,Publication Date,Publication Place,Language,Bibliograhic Format
hvd.32044020771184,allow,pd,001476488,v.2,HVD,003663698,7447511,,,05005477 //r87,"Théorie analytique du système du monde, par m. G. de Pontécoulant ...","Bachelier, 1829-46.",bib,2012-05-31 19:30:32,0,1846,fr ,fre,BK
nyp.33433090904032,allow,pd,001476488,v. 3,NYP,.b137449288,7447511,,,05005477 //r87,"Théorie analytique du système du monde, par m. G. de Pontécoulant ...","Bachelier, 1829-46.",bib,2013-04-18 19:25:52,0,1846,fr ,fre,BK
nyp.33433090904073,allow,pd,001476488,v. 4,NYP,.b137449288,7447511,,,05005477 //r87,"Théorie analytique du système du monde, par m. G. de Pontécoulant ...","Bachelier, 1829-46.",bib,2013-04-19 19:26:55,0,1846,fr ,fre,BK
nyp.33433090904230,allow,pd,001476488,v. 2,NYP,.b137449288,7447511,,,05005477 //r87,"Théorie analytique du système du monde, par m. G. de Pontécoulant ...","Bachelier, 1829-46.",bib,2013-04-18 19:25:52,0,1846,fr ,fre,BK
nyp.33433090904271,allow,pd,001476488,v. 1,NYP,.b137449288,7447511,,,05005477 //r87,"Théorie analytique du système du monde, par m. G. de Pontécoulant ...","Bachelier, 1829-46.",bib,2013-04-18 19:25:52,0,1846,fr ,fre,BK
nyp.33433069072902,allow,pd,001476492,,NYP,.b137449781,2698648,,,06020040 //r87,Mechanism of the heavens. By Mrs. Somerville.,"J. Murray, 1831.",bib,2010-10-10 20:33:37,0,1831,enk,eng,BK
hvd.32044060017837,allow,pd,001476492,,HVD,002224558,2698648,,,06020040 //r87,Mechanism of the heavens. By Mrs. Somerville.,"J. Murray, 1831.",bib,2012-05-13 19:35:31,0,1831,enk,eng,BK
mdp.39015021067163,allow,pdus,001476496,v.3,MiU,001476496,1355607,,,02028445,Traité de mécanique céleste / par F. Tisserand.,"Gauthier-Villars et fils, 1889-1896.",bib,2012-07-26 19:30:11,0,1896,fr ,fre,BK
mdp.39015021066991,allow,pdus,001476496,v.1,MiU,001476496,1355607,,,02028445,Traité de mécanique céleste / par F. Tisserand.,"Gauthier-Villars et fils, 1889-1896.",bib,2012-07-26 19:30:11,0,1896,fr ,fre,BK
nyp.33433069074288,allow,pdus,001476496,v. 4,NYP,.b137450473,1355607,,,02028445,Traité de mécanique céleste / par F. Tisserand.,"Gauthier-Villars et fils, 1889-1896.",bib,2010-10-10 20:30:45,0,1896,fr ,fre,BK
